ChooseWindow,Loading...
DecryptionProgress,Decryption Progress
AccessGranted,Access Granted
AccessDenied,Access Denied
DecrytionOfLevel,Decryption of Level
Successful,Successful
Failed,Failed
AnswerTheQuestion,Answer the question
Q1,What is the first letter of the item?
Q2,What is the last letter of the item?
Q3,What is the second letter of the item?
Q4,Which letter is in items name?
apple,apple
eggplant,eggplant
bag,bag
banana,banana
baseballbat,baseballbat
bed,bed
blender,blender
brownbear,brownbear
calendar,calendar
carrot,carrot
chair,chair
cherry,cherry
clock,clock
comb,comb
cucumber,cucumber
desklamp,desklamp
dog,dog
earring,earring
fork,fork
garlic,garlic
glass,glass
glasses,glasses
grater,grater
guitar,guitar
hairdryer,hairdryer
hamburger,hamburger
hammer,hammer
hat,hat
knife,knife
lemon,lemon
lipstick,lipstick
liquidsoap,liquidsoap
mixer,mixer
mobilephone,mobilephone
monitor,monitor
necklace,necklace
onion,onion
orange,orange
oven,oven
pan,pan
pear,pear
pepper,pepper
pizza,pizza
plate,plate
potatoes,potatoes
saltcellar,saltcellar
shampoo,shampoo
spoon,spoon
telephone,telephone
toiletpaper,toiletpaper
tomatoes,tomatoes
toothbrush,toothbrush
wallet,wallet
watch,watch
apron,apron
avocado,avocado
axe,axe
bag,bag
bowtie,bowtie
broccoli,broccoli
cake,cake
camel,camel
camera,camera
choppingboard,choppingboard
coffeemachine,coffeemachine
corn,corn
courgette,courgette
cushion,cushion
dress,dress
fan,fan
fireplace,fireplace
fox,fox
Glasses,Glasses
grape,grape
hippopotamus,hippopotamus
iron,iron
kettle,kettle
kiwi,kiwi
leopard,leopard
lettuce,lettuce
lion,lion
meter,meter
mirror,mirror
mushroom,mushroom
pancake,pancake
peeler,peeler
perfume,perfume
pillow,pillow
pineapple,pineapple
pomegranate,pomegranate
pot,pot
printer,printer
pumpkin,pumpkin
rabbit,rabbit
saw,saw
scales,scales
scissors,scissors
skateboard,skateboard
sofa,sofa
spaghetti,spaghetti
stamp,stamp
strawberry,strawberry
suit,suit
teddybear,teddybear
tie,tie
tiger,tiger
toaster,toaster
toiletbrush,toiletbrush
toothpaste,toothpaste
umbrella,umbrella
wallet,wallet
wardrobe,wardrobe
washingmachine,washingmachine
watermelon,watermelon
wolf,wolf
armchair,armchair
artichoke,artichoke
asparagus,asparagus
beaver,beaver
bunk,bunk
cabbage,cabbage
carpet,carpet
cauliflower,cauliflower
chevalglass,chevalglass
coathanger,coathanger
damson,damson
deer,deer
doughroller,doughroller
drill,drill
elephant,elephant
fingernailpolish,fingernailpolish
giraffe,giraffe
grater,grater
gull,gull
hippopotamus,hippopotamus
juiceextractor,juiceextractor
kakipersimmon,kakipersimmon
ladle,ladle
lampshade,lampshade
makeupkit,makeupkit
mango,mango
mascara,mascara
moose,moose
nightstand,nightstand
ovenmitts,ovenmitts
owl,owl
parsley,parsley
pea,pea
penguin,penguin
pliers,pliers
polarbear,polarbear
raccoon,raccoon
radish,radish
raspberry,raspberry
redbeet,redbeet
refrigerator,refrigerator
rhino,rhino
salad,salad
sealion,sealion
seal,seal
slipper,slipper
squirrel,squirrel
starfish,starfish
stool,stool
sunbed,sunbed
wokpan,wokpan
wrench,wrench
zebra,zebra
